Ontology|curie|name|synonyms|integred_in_NIF
hbp_measurement_methods|HBP_MEM:0000044|Fluorescent microspheres||yes
hbp_measurement_methods|HBP_MEM:0000045|Fluoro-gold diamidino yellow fast blue||yes
hbp_measurement_methods|HBP_MEM:0000042|Tritiated amino acids||yes
hbp_measurement_methods|HBP_MEM:0000043|Horseradish peroxidase|HRP|yes
hbp_measurement_methods|HBP_MEM:0000048|Tritiated amino acids||yes
hbp_measurement_methods|HBP_MEM:0000049|Wheat-germ agglutinin|WGA|yes
hbp_measurement_methods|HBP_MEM:0000046|Cholera toxin, subunit B|CTB|yes
hbp_measurement_methods|HBP_MEM:0000149|Self-administration||yes
hbp_measurement_methods|HBP_MEM:0000047|Biotinylated dextran amine|BDA|yes
hbp_measurement_methods|HBP_MEM:0000061|Enzymatic histochemistry||yes
hbp_measurement_methods|HBP_MEM:0000060|Immunohistochemistry|IHC|yes
hbp_measurement_methods|HBP_MEM:0000063|Direct immunohistochemistry|Direct IHC|yes
hbp_measurement_methods|HBP_MEM:0000062|Reporter gene||yes
hbp_measurement_methods|HBP_MEM:0000160|Barnes maze||yes
hbp_measurement_methods|HBP_MEM:0000162|Tail flick assay||yes
hbp_measurement_methods|HBP_MEM:0000161|Radial arm maze||yes
hbp_measurement_methods|HBP_MEM:0000156|Novel object recognition||yes
hbp_measurement_methods|HBP_MEM:0000157|Delayed match to sample||yes
hbp_measurement_methods|HBP_MEM:0000158|Delayed nonmatch to sample||yes
hbp_measurement_methods|HBP_MEM:0000159|Morris water maze||yes
hbp_measurement_methods|HBP_MEM:0000152|Go/no-go task||yes
hbp_measurement_methods|HBP_MEM:0000153|Five choice serial reaction time task||yes
hbp_measurement_methods|HBP_MEM:0000154|Classical conditioning||yes
hbp_measurement_methods|HBP_MEM:0000155|Operant conditioning||yes
hbp_measurement_methods|HBP_MEM:0000053|DiI and DiO lipophilic dyes||yes
hbp_measurement_methods|HBP_MEM:0000054|DiI and DiO lipophilic dyes||yes
hbp_measurement_methods|HBP_MEM:0000055|Gene and protein expression visualization||yes
hbp_measurement_methods|HBP_MEM:0000056|In situ hybridization|ISH|yes
hbp_measurement_methods|HBP_MEM:0000057|3H-leucine||yes
hbp_measurement_methods|HBP_MEM:0000058|3H-proline||yes
hbp_measurement_methods|HBP_MEM:0000059|3H-leucine||yes
hbp_measurement_methods|HBP_MEM:0000129|Locomotor activity assay||yes
hbp_measurement_methods|HBP_MEM:0000128|Behaviour assay||yes
hbp_measurement_methods|HBP_MEM:0000127|Electrospray ionization||yes
hbp_measurement_methods|HBP_MEM:0000122|Conditional knockout||yes
hbp_measurement_methods|HBP_MEM:0000121|Knockin||yes
hbp_measurement_methods|HBP_MEM:0000120|Knockout||yes
hbp_measurement_methods|HBP_MEM:0000126|Matrix-assisted laser desorption ionization|MALDI|yes
hbp_measurement_methods|HBP_MEM:0000125|Dominant-negative inhibition||yes
hbp_measurement_methods|HBP_MEM:0000124|Morpholino||yes
hbp_measurement_methods|HBP_MEM:0000123|RNA interference|RNAi|yes
hbp_measurement_methods|HBP_MEM:0000140|Forced swim test|Porsolt test|yes
hbp_measurement_methods|HBP_MEM:0000139|Depression assay||yes
hbp_measurement_methods|HBP_MEM:0000138|Anxiety assay||yes
hbp_measurement_methods|HBP_MEM:0000131|Sensory function assay||yes
hbp_measurement_methods|HBP_MEM:0000130|Motor coordination assay||yes
hbp_measurement_methods|HBP_MEM:0000133|Spatial learning and memory assay||yes
hbp_measurement_methods|HBP_MEM:0000132|Nociception assay||yes
hbp_measurement_methods|HBP_MEM:0000135|Attention and impulsivity assay||yes
hbp_measurement_methods|HBP_MEM:0000134|Nonspatial learning and memory assay||yes
hbp_measurement_methods|HBP_MEM:0000137|Social behavior assay||yes
hbp_measurement_methods|HBP_MEM:0000136|Reward-system assay||yes
hbp_measurement_methods|HBP_MEM:0000001|3H-proline||yes
hbp_measurement_methods|HBP_MEM:0000109|Serial analysis of gene expression|SAGE|yes
hbp_measurement_methods|HBP_MEM:0000108|Northern blot|NB|yes
hbp_measurement_methods|HBP_MEM:0000005|Magnetic resonance imaging|MRI|yes
hbp_measurement_methods|HBP_MEM:0000107|Polymerase chain reaction|PCR|yes
hbp_measurement_methods|HBP_MEM:0000004|Computerized tomography|CT|yes
hbp_measurement_methods|HBP_MEM:0000106|Next generation sequencing|NGS|yes
hbp_measurement_methods|HBP_MEM:0000003|Cerebral angiography||yes
hbp_measurement_methods|HBP_MEM:0000105|Microarrays||yes
hbp_measurement_methods|HBP_MEM:0000002|Structural brain imaging||yes
hbp_measurement_methods|HBP_MEM:0000104|In situ hybridization|ISH|yes
hbp_measurement_methods|HBP_MEM:0000009|Positron emission tomography|PET|yes
hbp_measurement_methods|HBP_MEM:0000103|Gene expression measurement/visualization||yes
hbp_measurement_methods|HBP_MEM:0000008|Functional magnetic resonance imaging|fMRI|yes
hbp_measurement_methods|HBP_MEM:0000102|Electron tomography|ET|yes
hbp_measurement_methods|HBP_MEM:0000007|Functional brain imaging||yes
hbp_measurement_methods|HBP_MEM:0000101|Scanning electron microscopy|SEM|yes
hbp_measurement_methods|HBP_MEM:0000006|Diffusion magnetic resonance imaging|Diffusion MRI|yes
hbp_measurement_methods|HBP_MEM:0000100|Transmission electron microscopy|TEM|yes
hbp_measurement_methods|HBP_MEM:0000010|Single-Proton emission computerized tomography|SPECT|yes
hbp_measurement_methods|HBP_MEM:0000012|Magnetoencephalography|MEG|yes
hbp_measurement_methods|HBP_MEM:0000011|Electroencephalography|EEG|yes
hbp_measurement_methods|HBP_MEM:0000117|Reporter proteins||yes
hbp_measurement_methods|HBP_MEM:0000014|Electrophysiology recording||yes
hbp_measurement_methods|HBP_MEM:0000116|Immunoelectron microscopy|IEM|yes
hbp_measurement_methods|HBP_MEM:0000013|Optical imaging||yes
hbp_measurement_methods|HBP_MEM:0000119|Endogenous genes manipulation||yes
hbp_measurement_methods|HBP_MEM:0000016|Intracellular recording||yes
hbp_measurement_methods|HBP_MEM:0000118|Mass spectrometry||yes
hbp_measurement_methods|HBP_MEM:0000015|Extracellular recording||yes
hbp_measurement_methods|HBP_MEM:0000113|Enzyme-linked immunosorbent assay|ELISA|yes
hbp_measurement_methods|HBP_MEM:0000018|Multiple electrode recording||yes
hbp_measurement_methods|HBP_MEM:0000112|Western blot|WB|yes
hbp_measurement_methods|HBP_MEM:0000017|Patch clamp techniques||yes
hbp_measurement_methods|HBP_MEM:0000115|Immunohistochemistry|IHC|yes
hbp_measurement_methods|HBP_MEM:0000114|Radioimmunoassay|RIA|yes
hbp_measurement_methods|HBP_MEM:0000019|Single electrode recording||yes
hbp_measurement_methods|HBP_MEM:0000111|Protein expression measurement/visualization||yes
hbp_measurement_methods|HBP_MEM:0000110|Reporter genes||yes
